  18   1 1.00-30 3.46-03 2.33-03 1.72-03 1.31-03 9.43-04 7.52-04 6.01-04 4.34-04 3.24-04 2.29-04 1.32-04 8.13-05 4.81-05 0.00+00
  19   1 1.00-30 3.56-04 3.00-04 2.79-04 2.66-04 2.50-04 2.37-04 2.20-04 1.83-04 1.44-04 1.03-04 5.79-05 3.44-05 1.94-05 0.00+00
  20   1 5.02+07 1.12-03 9.20-04 8.49-04 8.05-04 7.53-04 7.14-04 6.62-04 5.50-04 4.34-04 3.12-04 1.83-04 1.22-04 8.64-05-5.57-07
  21   1 5.00+04 1.72-03 1.47-03 1.38-03 1.32-03 1.25-03 1.19-03 1.10-03 9.17-04 7.23-04 5.18-04 2.90-04 1.72-04 9.72-05 0.00+00
  22   1 1.00-30 1.18-03 9.22-04 8.41-04 7.82-04 6.99-04 6.53-04 6.34-04 6.52-04 7.01-04 7.77-04 8.99-04 9.87-04 1.06-03 1.22-03
  23   1 1.00-30 2.10-04 2.11-04 2.15-04 2.08-04 1.78-04 1.52-04 1.27-04 9.22-05 6.65-05 4.40-05 2.27-05 1.28-05 6.93-06 0.00+00
  24   1 3.35+05 3.63-04 3.57-04 3.62-04 3.50-04 2.99-04 2.55-04 2.12-04 1.54-04 1.12-04 7.48-05 4.02-05 2.46-05 1.54-05 3.65-06
  25   1 1.41+01 4.93-04 4.92-04 5.03-04 4.86-04 4.16-04 3.55-04 2.96-04 2.15-04 1.55-04 1.03-04 5.29-05 2.99-05 1.62-05 0.00+00
  26   1 4.19-04 1.74-04 1.41-04 1.31-04 1.14-04 7.46-05 4.74-05 2.86-05 1.42-05 8.13-06 4.55-06 2.02-06 1.06-06 5.47-07 0.00+00
  27   1 1.36+03 3.06-04 2.46-04 2.34-04 2.07-04 1.36-04 8.65-05 5.22-05 2.63-05 1.59-05 1.00-05 6.25-06 4.95-06 4.31-06 3.74-06
  28   1 7.81-04 3.15-04 2.53-04 2.36-04 2.06-04 1.35-04 8.59-05 5.18-05 2.56-05 1.47-05 8.22-06 3.65-06 1.92-06 9.87-07 0.00+00
  29   1 2.65+03 3.65-04 2.94-04 2.82-04 2.52-04 1.66-04 1.06-04 6.38-05 3.25-05 2.02-05 1.35-05 9.49-06 8.22-06 7.66-06 7.30-06
  30   1 7.91+07 8.66-04 7.51-04 7.08-04 6.42-04 5.10-04 4.16-04 3.48-04 3.09-04 3.26-04 3.82-04 4.96-04 5.88-04 6.69-04 8.59-04
  31   1 4.32+11 1.39-03 1.44-03 1.52-03 1.60-03 1.72-03 1.88-03 2.15-03 2.81-03 3.67-03 4.94-03 7.19-03 9.24-03 1.16-02-4.77-03
